rank,symbol,code,name,market,sector,median_turnover,n_obs,sigma,sigma_sq,g,mu,drag,drag_ratio,se_g,se_drag,sigma_sq_lo,sigma_sq_hi,realized_qv,simple_mean,total_log_return,skew,excess_kurtosis,jarque_bera,jb_pvalue,lb_sq_stat,lb_sq_pvalue,normal_ok,no_arch_ok,gbm_score
21,209640.KQ,209640,와이제이링크,KOSDAQ,특수 목적용 기계 제조업,2553417422.4333496,443,1.0422829864545935,1.0863538238527064,-1.0008916288029777,-0.45771471687662446,0.5431769119263532,,0.7861113305075367,0.03653803309797889,0.9562354987330431,1.245111501868085,1.0878768914267367,-0.4800984552352981,-1.7595039347607901,-2.2807453284819235,31.188610968846852,17919.29872302426,0.0,0.4524446424693489,0.9999959088375584,False,True,0.3979503114345384
22,445680.KQ,445680,큐리옥스바이오시스템즈,KOSDAQ,의료용 기기 제조업,6448552550.0,502,1.0401825162514085,1.0819796671151114,0.10806357113663924,0.6490534046941949,0.5409898335575557,0.8335058866418643,0.7369838339745702,0.03418103733685798,0.9595660443674483,1.229539020221639,1.079870669352679,0.6199927150142334,0.21526949488330516,-2.9575424601469535,35.777981422174605,26955.23121435039,0.0,3.185514096592365,0.9767148678953456,False,True,0.35283050265686977
23,307870.KQ,307870,비투엔,KOSDAQ,소프트웨어 개발 및 공급업,529493762.5,502,1.0389410183004122,1.0793984395070975,-0.4630161077852805,0.07668311196826821,0.5396992197535487,7.038045351848507,0.7361042153446646,0.034099493256201,0.9572768531370455,1.2266057672589574,1.0780989732381308,0.080043996064207,-0.9223574845563922,0.28537131299559837,5.795292949583132,692.5220593738032,4.175855949773291e-151,38.42495569305219,3.200097253474629e-05,False,False,0.37018706306905247
24,389140.KQ,389140,포바이포,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업",1184630380.0,502,1.0344244069938624,1.070033853784604,-0.19937963264245417,0.3356372942498478,0.535016926892302,1.5940330114031855,0.7329041331809404,0.03380365474467128,0.9489717631691054,1.215964048284038,1.0680600592190441,0.34945882977060627,-0.39717688724806344,1.1530726797340671,7.059040993035033,1128.7692261282193,7.778160047156917e-246,173.91649621435562,4.2830148172053094e-32,False,False,0.25547164333115235
25,323280.KQ,323280,태성,KOSDAQ,특수 목적용 기계 제조업,15641266275.0,502,1.0332799212961767,1.0676673957538332,0.9629868819745309,1.4968205798514473,0.5338336978769166,0.3566450816235418,0.7320932490868209,0.033728895492936395,0.9468730427949943,1.213274854968319,1.0692205037280256,1.5036545914886454,1.9183310109175178,0.24307532203388024,3.462527020060172,249.02135421920192,8.427523908391815e-55,22.67679468814955,0.01200454686772587,False,False,0.47798126262836693
26,380550.KQ,380550,뉴로핏,KOSDAQ,소프트웨어 개발 및 공급업,9691145600.0,256,1.0276306839735931,1.0560248226440347,-0.8127923703262733,-0.2847799590042559,0.5280124113220174,,1.019570711030001,0.04676156512166981,0.8942674683700083,1.266267862179764,1.0545212790030436,-0.27651640471395134,-0.8256938365219284,0.863366502385145,2.4969235374320427,94.16214775111717,3.572312257534865e-21,16.3168045535394,0.09091555609737587,False,True,0.8300806739898817
27,295310.KQ,295310,에이치브이엠,KOSDAQ,1차 비철금속 제조업,9537127320.0,502,1.0261219089526068,1.052926172032542,0.7833438781778078,1.3098069641940788,0.526463086016271,0.4019394463520833,0.7270216974137428,0.033263202528712864,0.933799619915348,1.1965232372420167,1.0532637398220988,1.3193313311325636,1.5604707414494428,0.5978537409598977,2.157948539689677,124.1413695029484,1.1041908003929646e-27,39.37727137926265,2.1802374478685246e-05,False,False,0.5130353996499714
28,476060.KQ,476060,온코닉테라퓨틱스,KOSDAQ,자연과학 및 공학 연구개발업,12047817540.0,399,1.0204390793229214,1.0412959146094114,0.7774045186710724,1.298052475975778,0.5206479573047057,0.40109931373407826,0.8109627473861234,0.036907755135928845,0.910514359312477,1.202585654653071,1.041084395593547,1.3111604289120102,1.2308904878958646,0.9465865021437341,2.9788334983685267,201.5344645215779,1.7272176706082967e-44,37.3791198046478,4.865232651975802e-05,False,False,0.452846725763834
29,000500.KS,000500,가온전선,KOSPI,절연선 및 케이블 제조업,5828331376.1015625,502,1.0122839016715184,1.0247186975833125,0.927441610701281,1.439800959492937,0.5123593487916562,0.35585429042365463,0.7172172760730176,0.03237209452859829,0.9087834985394152,1.164468854381287,1.0260907107585606,1.4473249327999842,1.8475225736985834,0.3400471132956512,4.216056889814834,371.9843909682741,1.6773196088621303e-81,160.09695443601606,3.0942782893467697e-29,False,False,0.4376076324052891
30,006490.KS,006490,프리티,KOSPI,전기 통신업,616205700.0,502,1.0100109013753031,1.0201220208969524,-0.809041787009891,-0.29898077656141486,0.5100610104484762,,0.7156068236314912,0.03222687999063856,0.9047068832394926,1.1592452873208337,1.020687320448937,-0.2933915744095202,-1.6116626074562115,0.506525565683968,5.863961226966154,723.4685932764907,7.957763991574845e-158,38.415591385585294,3.212161497240255e-05,False,False,0.35235337374092524
31,160190.KQ,160190,하이젠알앤엠,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",7525675650.0,502,1.0045156073857415,1.009051605481545,0.4945653748169404,0.9990911775577129,0.5045258027407725,0.5049847442093226,0.7117133311241959,0.03187715227010062,0.894888958695688,1.1466650992295,1.0080121572445129,1.0070590713686802,0.9852056276115242,0.6001854660416435,3.7520873603639924,316.7555480393929,1.6497065059230867e-69,8.631600212605399,0.5673859068186978,False,True,0.7911437043808441
32,065500.KQ,065500,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,812535820.0,502,1.000364800355639,1.0007297337905772,-0.020163032897976652,0.4802018339973119,0.5003648668952886,1.041988662829825,0.7087724263970544,0.03161425434731437,0.8875086115940397,1.1372082986293515,0.9987378615503979,0.4978704490030915,-0.040166041725334445,1.6407743434855735,6.1734809160429585,1002.2663460471251,2.2941840559948243e-218,415.8744370208039,3.925775690249136e-83,False,False,0.2628084025456954
33,474650.KQ,474650,링크솔루션,KOSDAQ,특수 목적용 기계 제조업,4575102750.0,288,1.0002211444889544,1.0004423378827938,0.15057005489903807,0.650791223840435,0.5002211689413969,0.7686353942966573,0.9356212084211455,0.04175765638299141,0.8549972285802774,1.1866484658348881,0.9970585454057497,0.6607924490464769,0.1720800627417578,0.9996009456511372,2.9346052967222533,145.8337382530305,2.1508300755797388e-32,10.964534761337509,0.3602877508443266,False,True,0.8013026986040894
34,347850.KQ,347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,30038039700.0,502,0.9979053378152766,0.9958150632402212,0.9831044434273769,1.4810119750474875,0.4979075316201106,0.3361941294256892,0.7070298628524899,0.031458994001223047,0.8831499797983532,1.1316233700055922,0.9976666629216552,1.4930478187681664,1.958406470637076,0.7854372286540541,2.8780021567399867,219.7138696568465,1.9486749626844663e-48,5.253357861225335,0.8736235408440655,False,True,0.8181274210364303
35,356680.KQ,356680,엑스게이트,KOSDAQ,소프트웨어 개발 및 공급업,3734382277.5,502,0.9955789639470262,0.9911774734538341,0.5399274665722724,1.0355162032991894,0.49558873672691706,0.47859100142320776,0.7053815944900682,0.031312486969289455,0.8790370802476735,1.126353310155625,0.990359848355873,1.049624599252462,1.0755697945209555,1.1854809740892018,4.328681072055987,498.92313799353497,4.573167808891255e-109,157.00412407607425,1.3449590027553842e-28,False,False,0.3761772868182005
36,456010.KQ,456010,아이씨티케이,KOSDAQ,반도체 제조업,6451706290.0,502,0.9931915487359056,0.9864294524804269,0.40105189276749975,0.8942666190077132,0.49321472624021345,0.5515298410528722,0.7036900774840704,0.031162491283510133,0.8748262435355808,1.1209577586188753,0.9851027179389303,0.905746163601598,0.7989208340050986,1.0115622066622154,3.062468877545925,275.88517613719654,1.2367877708213346e-60,26.499453402532712,0.0031234542233326773,False,False,0.44475142006628565
37,013360.KS,013360,일성건설,KOSPI,토목 건설업,776191389.5,502,0.9876168381970393,0.9753870190903169,0.03368077352348521,0.5213742830686436,0.48769350954515844,0.9354000099021937,0.6997403172429175,0.03081364754876279,0.865033135170993,1.1084093687147107,0.9734485186257531,0.5372634216458964,0.06709423932059355,1.514462094454359,6.7180039565037895,1112.778228624252,2.3082235262841034e-242,179.12674613934647,3.556663168825384e-33,False,False,0.24672568232703895
38,203400.KQ,203400,에이비온,KOSDAQ,자연과학 및 공학 연구개발업,1094321769.3271484,502,0.9873298738131908,0.9748202797239712,-0.8677519360533138,-0.3803417961913282,0.4874101398619856,,0.6995369989708656,0.030795743571423756,0.8645305158811115,1.107765337975135,0.975866475793793,-0.3782351046319305,-1.7286169519792205,0.14810667792519974,8.55447718812335,1498.0080154039674,0.0,137.8140196059943,1.1816279062512294e-24,False,False,0.2551747480061026
39,389470.KQ,389470,인벤티지랩,KOSDAQ,자연과학 및 공학 연구개발업,7557176350.0,502,0.9869784097618753,0.9741263813360802,0.37263433086094483,0.8596975215289849,0.4870631906680401,0.5665518144123423,0.6992879817839818,0.030773822487853184,0.8639151241584215,1.106976806388164,0.9727369077768289,0.8693570478364658,0.7423112463975965,0.8734705943626458,2.337762863295054,174.35323111510925,1.3793577278368032e-38,81.72763158914,2.300101650320951e-13,False,False,0.4865692981942129
40,036930.KQ,036930,주성엔지니어링,KOSDAQ,특수 목적용 기계 제조업,16581705989.18457,502,0.9863050583663655,0.9727976681590796,0.8802196548383582,1.366618488917898,0.4863988340795398,0.35591413260088056,0.6988109029201076,0.030731846842567606,0.8627367396784683,1.1054668845777469,0.9739343743603643,1.376163135362932,1.7534534394002215,0.47542448039601565,13.175587267533786,3571.5713856529596,0.0,74.87703667772718,5.027315401411745e-12,False,False,0.1683050346402657
41,100790.KQ,100790,미래에셋벤처투자,KOSDAQ,기타 금융업,2125269522.1518555,502,0.9841357513151558,0.9685231770166463,0.5767458377424288,1.061007426250752,0.4842615885083231,0.4564167757237504,0.6972739185902517,0.030596810532943462,0.8589458583136043,1.1006094424178339,0.9679138311587374,1.07029295459535,1.148914327566267,0.7028266756837442,6.523743459895805,910.462931972224,1.974632740154037e-198,90.06544419017654,5.19824843391838e-15,False,False,0.3095764325924393
42,355390.KQ,355390,크라우드웍스,KOSDAQ,소프트웨어 개발 및 공급업,645139680.0,502,0.9825622521966658,0.9654285794417844,-0.7575541674760724,-0.2748398777551802,0.4827142897208922,,0.6961590724983567,0.030499048478383847,0.8562013790557484,1.0970928065827807,0.9657827495308263,-0.2673059160152643,-1.5090960002896363,0.7437466426900247,6.52169222685662,914.8382600350404,2.2151131557172543e-199,32.876919029846746,0.0002856654498289766,False,False,0.3069407402787838
43,199430.KQ,199430,케이엔알시스템,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1695662085.0,502,0.9821121188760394,0.9645442140431839,0.25537245346505855,0.7376445604866505,0.48227210702159196,0.6538001265859261,0.6958401467567181,0.030471110313159737,0.85541706948589,1.0960878322761818,0.962881601266003,0.7464109602830789,0.5087181414264261,0.8179317200410966,3.5254511156078276,308.7315566720391,9.115789205804496e-68,70.7119361755938,3.230211408610451e-11,False,False,0.4368259184615746
44,314130.KQ,314130,지놈앤컴퍼니,KOSDAQ,기초 의약물질 제조업,866664510.0,502,0.9778981700390174,0.9562848309656589,-0.3565724621791681,0.12156995330366133,0.47814241548282943,3.9330640712554192,0.6928545051778987,0.030210186480732246,0.8480921411258704,1.0867020424268659,0.95488442047137,0.10384464946163352,-0.7103149841823111,-2.1170745731876335,29.16026246463796,17792.67115588825,0.0,2.1381452000427488,0.9951674973458339,False,True,0.4088616951208244
45,043260.KQ,043260,성호전자,KOSDAQ,전자부품 제조업,825607410.5,502,0.9758968787325187,0.9523747179198724,1.2648291080370981,1.7410164669970343,0.4761873589599362,0.27351111720458376,0.6914365623487128,0.030086661312864978,0.8446244126440783,1.0822586719002358,0.9568259407483856,1.7535050269140309,2.519619889819934,0.6786335403763244,5.3196037168097465,615.8808427776529,1.8330496814219911e-134,121.3842339806002,2.649446257197924e-21,False,False,0.3653755967184731
46,025950.KQ,025950,동신건설,KOSDAQ,토목 건설업,923741754.2177734,502,0.9755406803246534,0.9516796189682876,-0.31035351361062075,0.16548629587352304,0.4758398094841438,2.875403107987963,0.6911841908041204,0.030064702302045228,0.8440079561877435,1.0814687760178416,0.9501660622928627,0.17771120557582404,-0.6182439040973478,1.2401750754072933,7.281002686029854,1211.2568991891321,9.52590524995383e-264,120.40784038810709,4.1820177257234135e-21,False,False,0.23967654076817035
47,378800.KQ,378800,샤페론,KOSDAQ,기초 의약물질 제조업,2067658301.5,502,0.973440464459231,0.9475863378466035,-0.8728770449026285,-0.39908387597932676,0.47379316892330176,,0.6896961585439252,0.029935390634642466,0.8403777830026123,1.076817257128151,0.9487221852450468,-0.39792567560022757,-1.7388264942107918,0.08995781409364277,6.431292555073245,845.5432041822936,2.4695970995843814e-184,51.990054895004164,1.1459625472121765e-07,False,False,0.3545946474154611
48,166480.KQ,166480,코아스템켐온,KOSDAQ,의약품 제조업,980725515.0,502,0.9701958330694257,0.941279954505277,-0.872179423201598,-0.4015394459489595,0.4706399772526385,,0.6873972919083751,0.029736164409786353,0.8347848947986812,1.069650815252851,0.9424235335105678,-0.40993118077797974,-1.7374367874888978,-0.944903168686381,8.780012106778772,1650.4852855647741,0.0,135.1272298904984,4.1900898126505426e-24,False,False,0.19190591061586315
49,377030.KQ,377030,비트맥스,KOSDAQ,소프트웨어 개발 및 공급업,561031860.0,502,0.9686445010260408,0.9382721693679876,-1.0491810070804788,-0.580044922396485,0.4691360846839938,,0.68629815149865,0.02964114486440704,0.8321174061441194,1.066232831252652,0.9407712790222255,-0.5770029215343618,-2.09003518077143,0.25919475169972606,6.001224288814196,741.0427043590918,1.2151260211141851e-161,9.87393975654898,0.4516218279795573,False,True,0.7126652568900461
50,270520.KQ,270520,앱튼,KOSDAQ,"건축기술, 엔지니어링 및 관련 기술 서비스업",1006272850.0,502,0.9653762031716596,0.9319512136501293,-0.7020682118234057,-0.23609260499834106,0.46597560682506467,,0.6839825168425581,0.029441458280672236,0.8265115942613702,1.0590498296340338,0.9320506886132508,-0.2246903518352748,-1.398564453711705,1.210147744345145,6.006659812634862,858.5854692718356,3.6352495258082415e-187,141.84029412904863,1.7679722925657283e-25,False,False,0.2990237921417549
51,072770.KQ,072770,멤레이비티,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",524953092.0,502,0.9635437784173854,0.9284166129268514,-0.7592880036076428,-0.2950796971442171,0.4642083064634257,,0.6826842183230427,0.029329795998131028,0.8233768931782183,1.0550331834416322,0.928854948365245,-0.2968256772915297,-1.5125499119485584,-0.24437236477675037,9.330963573900283,1785.5113282551106,0.0,59.66041716708876,4.201985763066605e-09,False,False,0.21381514818937064
52,475830.KQ,475830,오름테라퓨틱,KOSDAQ,기초 의약물질 제조업,12431091300.0,305,0.9623461958780855,0.9261102007210225,0.9720216505209016,1.4350767508814128,0.46305510036051123,0.32266922314510804,0.874745434785285,0.037558728221165,0.7948688181545828,1.0929541491363328,0.9268230837107196,1.440937051943713,1.1764547754320436,0.3259392695363416,1.8835677932415713,48.05627913322063,3.6703846150781684e-11,10.208740953654502,0.4223746709955392,False,True,0.8935101646683732
53,459510.KQ,459510,나우로보틱스,KOSDAQ,특수 목적용 기계 제조업,2525535585.0,309,0.9562780982153639,0.9144678011263933,0.09994606757911363,0.5571799681423103,0.4572339005631966,0.8206215705989159,0.863585297447308,0.03684495770047211,0.7856279579989869,1.0780018318631361,0.9115479981520177,0.5804118094980202,0.12255291619819886,2.3949636207975393,15.662061656871408,3342.1691169540854,0.0,0.7356726816785686,0.9999586417139896,False,True,0.39033575861349734
54,950160.KQ,950160,코오롱티슈진,KOSDAQ,기초 의약물질 제조업,16128662050.0,502,0.9558117456817019,0.9135760931831024,0.23323758571072695,0.6900256323022782,0.4567880465915512,0.6619870700563294,0.6772059651886826,0.028860966153285622,0.8102154084852243,1.0381687277962124,0.9119720925962017,0.6795333263979672,0.46462407947136874,-1.2834198852911431,9.298323471858943,1905.0835753368228,0.0,424.85077934340995,4.804587438787574e-85,False,False,0.14601411808027132
55,327260.KQ,327260,RF머트리얼즈,KOSDAQ,전자부품 제조업,829993168.265625,502,0.9554537003851178,0.9128917735796144,0.9595987972139618,1.416044684003769,0.4564458867898072,0.3223386182272425,0.67695228509765,0.02883934767502019,0.8096085118170522,1.0373910813391078,0.9147273507832473,1.424372233601721,1.9115817309579715,0.5292624894306355,2.9692571768342946,202.5990852674626,1.0143027777727803e-44,143.574273247189,7.793825787693593e-26,False,False,0.48109926108041434
56,396270.KQ,396270,넥스트칩,KOSDAQ,반도체 제조업,2084338500.0,502,0.9550822101559419,0.9121820281563586,-0.8446880068045516,-0.38859699272637227,0.4560910140781793,,0.6766890790841815,0.028816925964567298,0.8089790659697774,1.0365845415132318,0.913196273073373,-0.3882672241960676,-1.6826721405392258,0.06310615168613637,2.704572830841335,148.97320877823384,4.475883129750207e-33,17.317149274165153,0.06763428940276595,False,True,0.8740871458330641
57,437730.KQ,437730,삼현,KOSDAQ,자동차 신품 부품 제조업,7762302626.800781,502,0.9547898032391666,0.9116235683694864,0.8420082879737322,1.2978200721584754,0.4558117841847432,0.35121338771302696,0.6764819047015719,0.028799283549089096,0.8084837895196607,1.0359499195142667,0.9126209897568983,1.3087514393814224,1.6773339704873553,0.8740867146622034,3.7380386116146473,348.18824760120447,2.4653733758206307e-76,19.124829014054807,0.03870551288625214,False,False,0.423515814833194
